Marque;"Libellé modèle";Modèle;Groupe;"Description Commerciale";Energie;Carrosserie;Cylindrée;Gamme;"Puissance fiscale";"Puissance maximale";"Puissance nominale électrique";"Poids à vide";"Rapport poids-puissance";"Type de boite";"Nombre rapports";"Conso basse vitesse Min";"Conso basse vitesse Max";"Conso moyenne vitesse Min";"Conso moyenne vitesse Max";"Conso haute vitesse Min";"Conso haute vitesse Max";"Conso T-haute vitesse Min";"Conso T-haute vitesse Max";"Conso vitesse mixte Min";"Conso vitesse mixte Max";"Conso elec Min";"Conso elec Max";"Autonomie elec Min";"Autonomie elec Max";"Autonomie elec urbain Min";"Autonomie elec urbain Max";"CO2 basse vitesse Min";"CO2 basse vitesse Max";"CO2 moyenne vitesse Min";"CO2 moyenne vitesse Max";"CO2 haute vitesse Min";"CO2 haute vitesse Max";"CO2 T-haute vitesse Min";"CO2 T-haute vitesse Max";"CO2 vitesse mixte Min";"CO2 vitesse mixte Max";"Essai CO2 type 1";"Essai HC";"Essai Nox";"Essai HCNox";"Essai particules";"Masse OM Min";"Masse OM Max";Bonus-Malus;"Barème Bonus-Malus";"Prix véhicule"
HYUNDAI;TUCSON;TUCSON;HYUNDAI;"TUCSON CRDi 136 DCT-7 Hybrid 48V N Line Executive";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE SUPERIEURE";7;100,000;7,940;1531;0,07;AUTOMATIQUE;7;5,208;5,464;4,684;5,285;4,350;4,502;5,558;5,946;4,961;5,302;;;;;;;136,38;143,15;122,62;138,45;113,87;117,90;145,57;155,79;129,90;138,90;0,130;;0,014;0,045;;1606;1606;Malus;11908;41825
B.M.W.;"SERIE 4";420;AUTRES;"420i Cabriolet";ESSENCE;CABRIOLET;1998;"MOYENNE SUPERIEURE";10;135,000;;1690;0,08;AUTOMATIQUE;8;9,227;10,001;6,790;7,594;5,734;6,523;6,380;7,412;6,644;7,520;;;;;;;210,56;228,24;154,85;173,21;130,71;148,70;145,46;169,03;151,50;171,50;0,237;0,022;0,018;;;1765;1765;Malus;1172;60100
B.M.W.;"SERIE X";X2;AUTRES;"X2 sDrive18i";ESSENCE;"TS TERRAINS/CHEMINS";1499;"MOYENNE SUPERIEURE";7;100,000;;1430;0,07;AUTOMATIQUE;7;8,594;9,260;6,196;6,984;5,272;6,241;6,189;7,565;6,228;7,265;;;;;;;195,58;210,61;140,87;158,71;119,79;141,77;140,71;171,96;141,60;165,10;0,312;0,031;0,016;;;1505;1505;Malus;540;42517
SKODA;KAROQ;KAROQ;VGF;"Karoq Ambition 1.5 TSI (150ch) DSG7 4x2 classe C";ESSENCE;"TS TERRAINS/CHEMINS";1498;"MOYENNE SUPERIEURE";8;110,000;;1330;0,08;AUTOMATIQUE;7;8,322;8,722;6,226;6,920;5,475;6,092;6,621;7,445;6,414;7,091;;;;;;;189,24;198,35;141,53;157,31;124,43;138,44;150,52;169,26;145,80;161,20;0,172;0,022;0,025;;;1405;1405;Malus;818;37898
KIA;PICANTO;PICANTO;HYUNDAI;"PICANTO 1.0 essence T-GDi (100ch) ISG BVM5";ESSENCE;BERLINE;998;INFERIEURE;5;73,600;;959;0,08;MECANIQUE;5;6,382;6,857;4,635;5,026;4,178;4,550;5,448;5,960;5,015;5,455;;;;;;;145,14;155,95;105,33;114,24;94,93;103,40;123,86;135,51;114,00;124,00;0,116;0,019;0,026;;;1034;1034;"Neutre 0";;18773
B.M.W.;"SERIE X";X2;AUTRES;"X2 sDrive18i";ESSENCE;"TS TERRAINS/CHEMINS";1499;"MOYENNE SUPERIEURE";7;100,000;;1430;0,07;AUTOMATIQUE;7;8,594;9,260;6,196;6,984;5,272;6,241;6,189;7,565;6,228;7,265;;;;;;;195,58;210,61;140,87;158,71;119,79;141,77;140,71;171,96;141,60;165,10;0,312;0,031;0,016;;;1505;1505;Malus;450;42517
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1290;0,08;MECANIQUE;6;7,631;8,440;5,556;6,526;4,781;5,964;5,532;7,111;5,585;6,815;;;;;;;174,08;191,97;126,64;148,30;108,93;135,49;126,08;161,64;127,30;154,90;0,291;0,024;0,018;;0,001;1365;1365;Malus;170;35210
SKODA;KAROQ;KAROQ;VGF;"Karoq 1.5 TSI (150ch) 4*2 BVM6 norme AP freins 15'' Ambition Classe A avec alt 140A famA";ESSENCE;"TS TERRAINS/CHEMINS";1498;"MOYENNE SUPERIEURE";8;110,000;;1321;0,08;MECANIQUE;6;7,635;8,002;5,624;6,209;4,814;5,586;5,644;6,701;5,649;6,430;;;;;;;173,63;181,90;127,83;141,05;109,37;126,87;128,28;152,27;128,40;146,10;0,192;0,027;0,022;;;1396;1396;Malus;330;33965
B.M.W.;"SERIE 2";220;AUTRES;"220i Active Tourer";"ESS+ELEC HNR";"MONOSPACE COMPACT";1499;"MOYENNE INFERIEURE";8;115,000;10,500;1520;0,08;AUTOMATIQUE;7;8,365;8,890;5,668;6,396;5,054;5,691;5,807;6,696;5,887;6,617;;;;;;;190,53;202,46;129,00;145,56;115,00;129,47;132,18;152,39;134,00;150,60;0,199;0,008;0,011;;;1595;1595;Malus;11910;38638
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 Caddy/Life/Style 2.0 TDI (102ch) BVM6 7PL";GAZOLE;COMBISPACE;1968;INFERIEURE;5;75,000;;1620;0,05;MECANIQUE;6;5,809;6,532;4,342;5,282;3,905;4,751;4,892;5,994;4,598;5,538;;;;;;;152,14;171,30;113,69;138,49;102,25;124,57;128,11;157,18;120,40;145,20;0,023;;0,041;0,062;;1695;1695;Malus;170;35330
DACIA;SANDERO;SANDERO;RENAULT;"SANDERO (91ch)";ESSENCE;BERLINE;999;INFERIEURE;5;67,000;;1072;0,06;MECANIQUE;5;6,604;7,004;4,823;5,031;4,354;4,665;5,368;5,968;5,109;5,513;;;;;;;149,09;158,09;108,72;113,38;98,10;105,08;121,06;134,61;115,20;124,30;0,317;0,040;0,027;;;1147;1185;"Neutre 0";;14400
RENAULT;TRAFIC;TRAFIC;RENAULT;"TRAFIC (149ch)";GAZOLE;MINIBUS;1997;"MOYENNE SUPERIEURE";8;110,000;;2034;0,05;MECANIQUE;6;7,667;9,108;6,543;7,479;5,846;6,710;7,497;8,316;6,817;7,756;;;;;;;201,26;239,12;171,74;196,32;153,44;176,13;196,79;218,31;178,92;203,60;0,040;;0,038;0,045;;2109;2109;Malus;14070;42550
FIAT;500;500;STELLANTIS;"500 Hybrid 1.0 BSG (70ch)";"ESS+ELEC HNR";BERLINE;999;ECONOMIQUE;4;51,500;1,370;1001;0,05;MECANIQUE;6;5,629;5,839;4,814;5,199;4,312;4,815;5,410;6,257;4,979;5,541;;;;;;;128,48;133,12;109,81;118,47;98,31;109,68;123,47;142,71;113,60;126,31;0,281;0,031;0,048;;;1076;1076;"Neutre 0";11900;19150
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1320;0,08;AUTOMATIQUE;7;8,092;8,676;5,516;6,400;4,693;5,896;5,435;7,138;5,577;6,809;;;;;;;184,61;197,89;125,72;145,84;106,89;134,31;123,87;162,71;127,10;155,20;0,273;0,023;0,015;;;1395;1395;Malus;190;37510
KIA;RIO;RIO;HYUNDAI;"RIO 1.0 essence T-GDi (100ch) ISG BVM6";ESSENCE;BERLINE;998;"MOYENNE INFERIEURE";5;73,500;;1100;0,07;MECANIQUE;6;6,728;7,118;4,895;5,396;4,351;4,790;5,527;6,070;5,196;5,678;;;;;;;152,87;161,78;111,15;122,59;98,78;108,79;125,55;137,93;118,00;129,00;0,110;0,018;0,030;;;1175;1175;Malus;75;19465
KIA;XCEED;XCEED;HYUNDAI;"XCEED 1.6 Essence T-GDi (160ch) ISG DCT7";ESSENCE;"TS TERRAINS/CHEMINS";1482;"MOYENNE INFERIEURE";8;117,500;;1325;0,09;AUTOMATIQUE;7;7,484;7,854;5,780;6,135;5,286;5,493;6,615;6,724;6,151;6,375;;;;;;;169,53;177,85;130,76;138,75;119,52;124,13;149,76;152,14;139,20;144,20;0,473;0,039;0,047;;;1400;1400;Malus;330;33715
"ALFA ROMEO";STELVIO;STELVIO;STELLANTIS;"STELVIO 2.2 Diesel (190ch) AT8";GAZOLE;"TS TERRAINS/CHEMINS";2143;SUPERIEURE;10;140,000;;1680;0,08;AUTOMATIQUE;8;7,259;7,900;5,436;6,144;4,783;5,140;5,699;6,333;5,571;6,219;;;;;;;190,28;207,08;142,46;161,04;125,34;141,79;149,37;166,00;146,00;163,00;0,044;;0,035;0,040;;1755;1755;Malus;1901;56350
B.M.W.;"SERIE 3";320;AUTRES;"320d xDrive Touring";"GAZ+ELEC HNR";BREAK;1995;SUPERIEURE;10;140,000;;1725;0,08;AUTOMATIQUE;8;6,494;7,188;5,084;6,077;4,690;5,371;5,367;6,285;5,251;6,082;;;;;;;170,35;188,54;133,32;159,39;122,97;140,86;140,76;164,85;137,70;159,50;0,049;;0,018;0,043;;1800;1800;Malus;11915;56088
VOLKSWAGEN;T-ROC;T-ROC;VGF;"T-ROC CABRIOLET 1.5 TSI (150ch) Traction Cab DSG7 pn de 17'' Ã  19''";ESSENCE;CABRIOLET;1498;INFERIEURE;8;110,000;;1471;0,07;AUTOMATIQUE;7;8,111;8,589;6,191;6,849;5,505;6,176;6,632;7,550;6,392;7,122;;;;;;;183,06;193,85;139,68;154,53;124,15;139,32;149,63;170,38;144,20;160,70;0,126;0,014;0,010;;;1546;1546;Malus;1172;44278
KIA;PICANTO;PICANTO;HYUNDAI;"PICANTO 1.0 essence T-GDi (100ch) ISG BVM5";ESSENCE;BERLINE;998;INFERIEURE;5;73,600;;959;0,08;MECANIQUE;5;6,382;6,857;4,635;5,026;4,178;4,550;5,448;5,960;5,015;5,455;;;;;;;145,14;155,95;105,33;114,24;94,93;103,40;123,86;135,51;114,00;124,00;0,116;0,019;0,026;;;1034;1034;"Neutre 0";;18773
B.M.W.;"SERIE 5";530;AUTRES;"530e xDrive Touring";"ELEC+ESSENC HR";BREAK;1998;LUXE;10;135,000;55,000;1960;0,07;AUTOMATIQUE;8;;;;;;;;;1,756;2,300;183,800;201,900;53,100;46,400;51,700;51,800;;;;;;;;;40,05;52,42;0,311;0,010;0,011;;;2035;2035;"Neutre 0";;70838
HYUNDAI;TUCSON;TUCSON;HYUNDAI;"TUCSON CRDi 136 iBVM Hybrid 48V CrÃ©ative";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE SUPERIEURE";7;100,000;7,940;1510;0,07;MECANIQUE;6;5,320;5,499;4,618;4,993;4,336;4,686;5,546;6,008;4,954;5,326;;;;;;;139,31;144,00;120,90;130,74;113,50;122,68;145,25;157,37;129,71;139,47;0,128;;0,034;0,074;;1585;1585;Malus;11909;36000
B.M.W.;"SERIE X";X4;AUTRES;"X4 xDrive30d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";2993;SUPERIEURE;17;210,000;;1935;0,11;AUTOMATIQUE;8;8,302;9,022;5,807;6,709;5,234;6,164;6,200;7,394;6,102;7,092;;;;;;;217,38;236,29;151,97;175,66;136,94;161,37;162,28;193,62;159,70;185,70;0,131;;0,043;0,060;0,001;2010;2010;Malus;14035;68850
"ALFA ROMEO";STELVIO;STELVIO;STELLANTIS;"STELVIO 2.2 Diesel (190ch) AT8";GAZOLE;"TS TERRAINS/CHEMINS";2143;SUPERIEURE;10;140,000;;1680;0,08;AUTOMATIQUE;8;7,259;7,900;5,436;6,144;4,783;5,140;5,699;6,333;5,571;6,219;;;;;;;190,28;207,08;142,46;161,04;125,34;141,79;149,37;166,00;146,00;163,00;0,044;;0,035;0,040;;1755;1755;Malus;1386;56350
B.M.W.;"SERIE 4";420;AUTRES;"420d xDrive Gran Coupe";"GAZ+ELEC HNR";BERLINE;1995;"MOYENNE SUPERIEURE";10;140,000;;1760;0,08;AUTOMATIQUE;8;6,587;7,101;5,014;5,943;4,443;5,094;4,987;5,943;5,038;5,836;;;;;;;172,66;186,11;131,38;155,72;116,39;133,44;130,66;155,71;132,00;152,90;0,087;;0,019;0,045;;1835;1835;Malus;12266;58783
PEUGEOT;508;508;AUTRES;"508 SW (130ch)";ESSENCE;BREAK;1199;"MOYENNE SUPERIEURE";7;96,000;;1420;0,07;AUTOMATIQUE;8;7,444;8,100;5,861;6,674;4,913;5,775;5,478;6,735;5,644;6,609;;;;;;;167,62;182,37;131,86;150,16;110,46;129,86;123,21;151,55;126,96;148,69;0,341;0,020;0,038;;;1495;1495;Malus;190;43375
FORD;FIESTA;FIESTA;FORD;"FIESTA 1.0 Flexifuel (95ch) S&S BVM6";SUPERETHANOL;BERLINE;999;INFERIEURE;5;69,900;;1114;0,06;MECANIQUE;6;8,870;10,145;6,612;7,847;6,035;7,363;7,505;8,962;7,052;8,399;;;;;;;145,35;166,21;108,30;128,48;98,82;120,55;122,96;146,78;115,51;137,55;0,393;0,037;0,011;;;1189;1307;"Neutre 0";;23090
MINI;MINI;CABRIO;B.M.W.;"MINI Cooper Cabrio (F57)";ESSENCE;CABRIOLET;1499;INFERIEURE;7;100,000;;1250;0,08;MECANIQUE;6;7,636;7,914;5,264;6,111;4,652;5,513;5,357;6,667;5,424;6,364;;;;;;;173,36;179,78;119,36;138,74;105,42;125,12;121,47;151,41;123,00;144,50;0,288;0,018;0,012;;;1325;1325;Malus;230;33533
RENAULT;MEGANE;MEGANE;RENAULT;"MEGANE Berline (115ch)";GAZOLE;BERLINE;1461;"MOYENNE INFERIEURE";6;85,000;;1320;0,06;MECANIQUE;6;5,333;5,694;4,550;5,122;4,014;4,402;4,809;5,181;4,581;4,997;;;;;;;139,49;149,03;118,94;134,01;104,86;115,13;125,73;135,57;119,75;130,75;0,171;;0,021;0,082;;1395;1395;"Neutre 0";;32275
RENAULT;CAPTUR;CAPTUR;RENAULT;"CAPTUR (140ch+0Kw)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1332;INFERIEURE;7;103,000;;1245;0,08;MECANIQUE;6;7,002;7,374;5,339;5,720;4,908;5,275;6,114;6,521;5,702;6,087;;;;;;;158,60;167,04;120,86;129,48;111,06;119,40;138,44;147,67;129,10;137,83;0,202;0,012;0,021;;;1320;1320;Malus;11907;28967
PORSCHE;"PANAMERA 4 E-HYBRID";PANAMERA;VGF;"PANAMERA 4 E-HYBRID";"ELEC+ESSENC HR";BERLINE;2894;LUXE;21;243,000;70,000;2210;0,11;AUTOMATIQUE;8;;;;;;;;;1,900;2,200;222,950;234,440;57,000;53,000;56,000;54,000;;;;;;;;;43,90;50,80;0,220;0,015;0,005;;;2285;2475;"Neutre 0";;125222
MINI;MINI;CABRIO;B.M.W.;"MINI Cooper Cabrio (F57)";ESSENCE;CABRIOLET;1499;INFERIEURE;7;100,000;;1250;0,08;MECANIQUE;6;7,636;7,914;5,264;6,111;4,652;5,513;5,357;6,667;5,424;6,364;;;;;;;173,36;179,78;119,36;138,74;105,42;125,12;121,47;151,41;123,00;144,50;0,288;0,018;0,012;;;1325;1325;Malus;190;33533
"ROLLS ROYC";CULLINAN;CULLINAN;B.M.W.;CULLINAN;ESSENCE;"TS TERRAINS/CHEMINS";6749;LUXE;53;441,000;;2710;0,16;AUTOMATIQUE;8;28,294;28,726;17,275;17,808;13,466;13,798;13,879;14,015;16,363;16,680;;;;;;;645,11;654,94;393,78;405,93;306,93;314,46;316,34;319,41;373,00;380,20;0,116;0,015;0,003;;;2785;2785;Malus;49850;391800
MINI;MINI;CLUBMAN;B.M.W.;"MINI Cooper S Clubman (F54)";ESSENCE;BREAK;1998;INFERIEURE;9;131,000;;1415;0,09;AUTOMATIQUE;7;8,854;9,247;6,231;6,562;5,223;5,716;6,209;6,781;6,262;6,736;;;;;;;201,72;210,58;141,89;149,32;118,90;130,02;141,41;154,32;142,60;153,30;0,187;0,020;0,009;;;1490;1490;Malus;1074;41400
MINI;MINI;COUNTRYMAN;B.M.W.;"MINI Cooper Countryman (F60)";ESSENCE;"TS TERRAINS/CHEMINS";1499;INFERIEURE;7;100,000;;1430;0,07;AUTOMATIQUE;7;8,601;9,062;6,170;6,940;5,246;5,983;6,396;7,207;6,289;7,022;;;;;;;195,81;206,23;140,38;157,82;119,31;136,00;145,54;163,91;143,10;159,70;0,253;0,020;0,017;;0,001;1505;1505;Malus;650;40000
FORD;"TOURNEO CONNECT";"TOURNEO CONNECT";FORD;"TOURNEO CONNECT 2.0 EcoBlue (122ch) BVM6";GAZOLE;COMBISPACE;1968;INFERIEURE;6;90,000;;1535;0,06;MECANIQUE;6;5,910;6,263;4,411;5,187;3,930;4,705;4,868;5,970;4,624;5,460;;;;;;;154,80;164,05;115,51;135,86;102,90;123,23;127,48;156,38;121,10;143,00;0,025;;0,047;0,066;;1610;1610;Malus;100;32627
B.M.W.;"SERIE X";X3;AUTRES;"X3 xDrive20d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1995;SUPERIEURE;10;140,000;;1840;0,08;AUTOMATIQUE;8;6,778;7,594;5,356;6,429;4,974;5,856;5,902;7,075;5,621;6,637;;;;;;;177,56;198,92;140,23;168,34;130,21;153,32;154,57;185,30;147,20;173,80;0,165;;0,025;0,069;;1915;1915;Malus;13077;59100
KIA;XCEED;XCEED;HYUNDAI;"XCEED 1.6 Diesel CRDi (136ch) ISG MHEV DCT7";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE INFERIEURE";7;100,000;5,700;1397;0,07;AUTOMATIQUE;7;5,462;6,056;4,599;4,958;4,294;4,416;5,613;5,666;4,979;5,188;;;;;;;143,06;158,67;120,41;129,85;112,41;115,64;147,01;148,43;130,40;135,90;0,112;;0,010;0,047;;1472;1472;Malus;11904;36715
B.M.W.;"SERIE X";X2;AUTRES;"X2 sDrive20i";ESSENCE;"TS TERRAINS/CHEMINS";1998;"MOYENNE SUPERIEURE";9;131,000;;1470;0,09;AUTOMATIQUE;7;9,111;9,800;6,440;7,150;5,323;6,276;6,423;7,637;6,445;7,406;;;;;;;207,59;223,19;146,67;162,75;121,21;142,83;146,29;173,86;146,80;168,60;0,159;0,021;0,013;;;1545;1545;Malus;898;46817
KIA;SORENTO;SORENTO;HYUNDAI;"SORENTO 1.6T-GDi (180ch) / Electrique (91ch) BVA6 4x4 SystÃ¨me hybride rechargeable (265ch) - 7PL";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1598;SUPERIEURE;10;132,200;22,300;1982;0,07;AUTOMATIQUE;6;;;;;;;;;;1,583;;184,000;;57,000;;70,000;;;;;;;;;;38,37;0,181;0,011;0,005;;0,001;2057;2057;"Neutre 0";;60603
B.M.W.;"SERIE 3";320;AUTRES;"320d Touring";"GAZ+ELEC HNR";BREAK;1995;SUPERIEURE;10;140,000;;1665;0,08;AUTOMATIQUE;8;6,360;6,677;4,762;5,574;4,407;5,246;5,052;6,057;4,968;5,791;;;;;;;166,85;175,15;124,89;146,20;115,56;137,59;132,51;158,89;130,30;151,90;0,047;;0,020;0,037;;1740;1740;Malus;11912;54300
HYUNDAI;TUCSON;TUCSON;HYUNDAI;"TUCSON T-GDi 150 iBVM Hybrid 48V CrÃ©ative";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE SUPERIEURE";8;110,100;7,940;1463;0,08;MECANIQUE;6;8,042;8,171;6,309;6,569;5,507;5,828;6,802;7,171;6,467;6,768;;;;;;;182,63;185,70;143,20;149,25;124,94;132,39;154,41;162,96;146,80;153,77;0,193;0,023;0,027;;;1538;1538;Malus;11923;32400
MINI;MINI;MINI;B.M.W.;"MINI Cooper S Hatch 5P (F55)";ESSENCE;BERLINE;1998;INFERIEURE;9;131,000;;1280;0,10;AUTOMATIQUE;7;8,409;8,864;5,750;6,411;4,862;5,652;5,673;6,829;5,803;6,652;;;;;;;191,22;201,47;130,70;145,62;110,47;128,33;128,95;155,13;131,90;151,10;0,188;0,016;0,009;;0,001;1355;1355;Malus;240;37750
B.M.W.;"SERIE 4";440;AUTRES;"M440i xDrive Cabriolet";"ESS+ELEC HNR";CABRIOLET;2998;"MOYENNE SUPERIEURE";26;275,000;;1890;0,15;AUTOMATIQUE;8;11,727;12,325;7,898;8,752;6,601;7,320;7,063;7,991;7,712;8,516;;;;;;;268,00;281,68;180,46;199,98;150,80;167,24;161,36;182,59;176,20;194,60;0,059;0,013;0,010;;;1965;1965;Malus;13614;77150
B.M.W.;"SERIE X";X3;AUTRES;"X3 xDrive20d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1995;SUPERIEURE;10;140,000;;1840;0,08;AUTOMATIQUE;8;6,778;7,594;5,356;6,429;4,974;5,856;5,902;7,075;5,621;6,637;;;;;;;177,56;198,92;140,23;168,34;130,21;153,32;154,57;185,30;147,20;173,80;0,165;;0,025;0,069;;1915;1915;Malus;13078;59100
SKODA;OCTAVIA;OCTAVIA;VGF;"OCTAVIA Combi 1.0 TSI (110ch) DSG7 mHEV famille A";"ESS+ELEC HNR";BREAK;999;"MOYENNE SUPERIEURE";6;81,000;;1278;0,06;AUTOMATIQUE;7;6,192;6,658;4,595;5,298;4,051;4,788;4,734;5,758;4,689;5,485;;;;;;;140,82;151,41;104,45;120,45;92,06;108,82;107,62;130,91;106,60;124,70;0,103;0,019;0,035;;;1353;1353;"Neutre 0";11900;31557
VOLKSWAGEN;TOURAN;TOURAN;VGF;"TOURAN 2.0 TDI (150ch) 7PL DSG7 pn de 16'' Ã  18''";GAZOLE;"MONOSPACE COMPACT";1968;"MOYENNE INFERIEURE";8;110,000;;1600;0,07;AUTOMATIQUE;7;6,969;7,657;4,976;5,761;4,264;5,110;4,975;6,003;5,022;5,899;;;;;;;182,80;200,83;130,51;151,09;111,82;134,01;130,48;157,44;131,70;154,70;0,028;;0,026;0,035;;1675;1675;Malus;650;45630
B.M.W.;"SERIE X";X2;AUTRES;"X2 M35i";ESSENCE;"TS TERRAINS/CHEMINS";1998;"MOYENNE SUPERIEURE";19;225,000;;1615;0,14;AUTOMATIQUE;8;10,422;10,687;7,367;8,066;6,401;7,002;7,360;8,116;7,474;8,105;;;;;;;237,55;244,15;167,87;184,21;145,84;159,89;167,71;185,35;170,30;185,10;0,120;0,009;0,019;;0,001;1690;1690;Malus;5715;58700
B.M.W.;"SERIE 3";316;AUTRES;"316d Touring";"GAZ+ELEC HNR";BREAK;1995;SUPERIEURE;6;90,000;;1660;0,05;AUTOMATIQUE;8;6,361;6,927;4,785;5,760;4,468;5,178;5,051;5,950;4,991;5,803;;;;;;;166,86;181,71;125,49;151,07;117,16;135,78;132,46;156,04;130,90;152,20;0,049;;0,018;0,040;;1735;1735;Malus;11907;48300
MINI;MINI;MINI;B.M.W.;"MINI Cooper Hatch 3P (F56)";ESSENCE;BERLINE;1499;INFERIEURE;7;100,000;;1175;0,09;AUTOMATIQUE;7;7,726;8,231;5,369;6,121;4,581;5,517;5,361;6,685;5,437;6,416;;;;;;;175,61;187,03;121,95;138,99;104,02;125,23;121,76;151,83;123,50;145,70;0,200;0,019;0,010;;0,001;1250;1250;"Neutre 0";;32367
MINI;MINI;MINI;B.M.W.;"MINI One 102 Hatch 3P (F56)";ESSENCE;BERLINE;1499;INFERIEURE;5;75,000;;1180;0,06;AUTOMATIQUE;7;7,724;8,299;5,192;5,897;4,567;5,307;5,423;6,252;5,418;6,161;;;;;;;175,70;188,77;118,04;134,09;103,83;120,67;123,30;142,17;123,20;140,10;0,084;0,012;0,006;;;1255;1255;"Neutre 0";;27150
"ALFA ROMEO";GIULIA;GIULIA;STELLANTIS;"GIULIA 2.2 Diesel (190ch) AT8";GAZOLE;BERLINE;2143;SUPERIEURE;10;140,000;;1465;0,10;AUTOMATIQUE;8;6,890;7,318;4,939;5,537;4,069;4,715;4,542;5,259;4,790;5,422;;;;;;;180,57;191,82;129,40;145,12;106,60;123,55;119,00;137,82;125,50;142,10;0,048;;0,041;0,044;;1570;1570;Malus;50;50883
B.M.W.;M8;M8;AUTRES;"M8 Competition Cabriolet";ESSENCE;CABRIOLET;4395;LUXE;57;460,000;;2025;0,23;AUTOMATIQUE;8;21,213;22,128;10,448;11,197;8,928;9,372;9,255;9,830;10,988;11,604;;;;;;;484,78;505,63;238,64;255,69;203,88;213,96;211,36;224,43;251,00;265,00;0,181;0,013;0,012;;;2100;2100;Malus;43000;181000
B.M.W.;"SERIE X";X3;AUTRES;"X3 M40d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";2993;SUPERIEURE;22;250,000;;2005;0,12;AUTOMATIQUE;8;8,918;10,291;6,453;7,043;5,655;6,456;6,358;7,476;6,501;7,448;;;;;;;233,54;269,53;168,94;184,38;148,01;169,00;166,43;195,73;170,20;195,00;0,122;;0,038;0,052;0,001;2080;2080;Malus;14757;78000
B.M.W.;"SERIE X";X3;AUTRES;"X3 xDrive20d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1995;SUPERIEURE;10;140,000;;1840;0,08;AUTOMATIQUE;8;6,778;7,594;5,356;6,429;4,974;5,856;5,902;7,075;5,621;6,637;;;;;;;177,56;198,92;140,23;168,34;130,21;153,32;154,57;185,30;147,20;173,80;0,165;;0,025;0,069;;1915;1915;Malus;13080;59100
B.M.W.;"SERIE 2";235;AUTRES;"M235i xDrive Gran CoupÃ©";ESSENCE;BERLINE;1998;"MOYENNE INFERIEURE";19;225,000;;1570;0,14;AUTOMATIQUE;8;10,224;10,753;7,280;7,811;6,114;6,809;6,825;7,719;7,151;7,861;;;;;;;230,94;242,85;164,41;176,37;138,06;153,73;154,13;174,28;161,50;177,50;0,079;0,009;0,015;;0,002;1645;1645;Malus;2726;58750
B.M.W.;"SERIE 2";218;AUTRES;"218i Gran CoupÃ©";ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1375;0,07;AUTOMATIQUE;7;8,092;8,676;5,516;6,400;4,693;5,896;5,435;7,138;5,577;6,809;;;;;;;184,61;197,89;125,72;145,84;106,89;134,31;123,87;162,71;127,10;155,20;0,273;0,023;0,015;;;1450;1450;Malus;310;40663
RENAULT;CLIO;CLIO;RENAULT;"CLIO (67ch)";ESSENCE;BERLINE;999;INFERIEURE;4;49,000;;1028;0,05;MECANIQUE;5;6,329;7,059;4,839;5,597;4,501;5,263;5,644;6,762;5,219;6,102;;;;;;;143,19;159,70;109,40;126,54;101,71;118,98;127,64;152,98;118,00;138,00;0,222;0,021;0,026;;;1103;1103;"Neutre 0";;18550
RENAULT;TWINGO;TWINGO;RENAULT;"TWINGO (65ch)";ESSENCE;BERLINE;999;ECONOMIQUE;4;48,000;;940;0,05;MECANIQUE;5;6,240;6,808;4,643;4,795;4,409;4,556;5,579;5,760;5,115;5,332;;;;;;;141,24;154,21;104,98;108,51;99,67;103,10;126,22;130,43;115,70;120,70;0,225;0,018;0,022;;;1015;1015;"Neutre 0";;16900
RENAULT;MEGANE;MEGANE;RENAULT;"MEGANE Berline (140ch)";ESSENCE;BERLINE;1332;"MOYENNE INFERIEURE";7;103,000;;1241;0,08;MECANIQUE;6;7,182;7,846;5,547;6,140;4,879;5,375;5,943;6,420;5,699;6,231;;;;;;;162,64;177,64;125,54;138,94;110,40;121,59;134,53;145,29;129,00;141,00;0,183;0,013;0,010;;;1316;1316;Malus;125;29775
B.M.W.;"SERIE 4";420;AUTRES;"420i Gran Coupe";ESSENCE;BERLINE;1998;"MOYENNE SUPERIEURE";10;135,000;;1620;0,08;AUTOMATIQUE;8;9,556;9,999;6,655;7,346;5,638;6,535;6,193;7,342;6,564;7,448;;;;;;;217,23;227,18;151,18;166,78;128,01;148,32;140,66;166,70;149,10;169,10;0,255;0,022;0,014;;;1695;1695;Malus;2049;53833
